"Story","Title","Result","Date","Stability","Duration (s)"
"Home page test","Create user test","ERROR","2021-08-17T10:28:39.324-05:00[America/Chicago]","0.0","58.89"
"Login page test","App login test","SUCCESS","2021-08-17T10:29:41.166-05:00[America/Chicago]","0.0","13.27"
